name	category	intro	formula	top_ex_annual_cost	top_ex_annual_free	erosion	bottom_ex_annual_cost	ls_annual_cost	ic_mean	ir	sharpe_top_cost	maxdd_top_cost	turnover_top
beta	风险因子 - 风格因子	BETA	一元线性回归求解 beta=sum(w_t*(r_t-r_mean)*(R_t-R_mean))/sum(w_t*(R_t-R_mean)^2)，其中r_t、R_t分别使用前252个交易日的股票和中证流通指数的close数据，w_t为半衰期为63个交易日的指数加权平均权重，w_t=0.5**(t/63)	2.80	5.66	-2.87	-10.00	-81.04	-0.025534	-0.075676	0.234455	38.60	3.06
raw_beta	风险因子 - 风格因子	RAW BETA	一元线性回归求解 beta=sum(w_t*(r_t-r_mean)*(R_t-R_mean))/sum(w_t*(R_t-R_mean)^2)，其中r_t、R_t分别使用前252个交易日的股票和中证流通指数的close数据，w_t为半衰期为63个交易日的指数加权平均权重，w_t=0.5**(t/63)	2.79	5.66	-2.87	-10.01	-81.04	-0.025548	-0.075712	0.234352	38.60	3.06
operating_profit_per_share	每股指标因子	每股营业利润	每股营业利润	0.59	2.40	-1.81	-16.41	-80.68	0.01062	0.093676	0.293656	20.62	1.98
market_beta	风险因子 - 新风格因子	市场波动率因子	1.00 * historical_beta	0.32	2.23	-1.91	-8.87	-81.72	-0.023508	-0.075041	0.175279	35.71	2.09
net_asset_growth_rate	成长类因子	净资产增长率	（当季的股东权益/三季度前的股东权益）-1	0.26	2.19	-1.93	-13.26	-81.02	0.001469	0.016811	0.254491	26.57	2.12
operating_revenue_per_share	每股指标因子	每股营业收入	每股营业收入	0.10	1.73	-1.63	-11.17	-81.57	0.003549	0.044126	0.258623	23.91	1.80
roe_ttm	质量类因子	权益回报率TTM	权益回报率=净利润（TTM）/期末股东权益	-0.00	1.54	-1.54	-10.64	-81.88	0.005904	0.051626	0.251966	22.96	1.70
total_operating_revenue_per_share	每股指标因子	每股营业总收入	每股营业总收入	-0.13	1.51	-1.65	-11.57	-81.52	0.003245	0.040556	0.248182	23.71	1.82
long_growth	风险因子 - 新风格因子	长期成长因子	0.20 * sales_per_share_growth_rate + 0.70 * long_term_pred_earnings_growth + 0.10 * earnings_per_share_growth_rate	-0.19	1.96	-2.15	-13.18	-80.79	-0.012112	-0.083588	0.196954	29.62	2.37
total_profit_ttm	基础科目及衍生类因子	利润总额TTM	计算过去12个月 利润总额 之和	-0.21	1.41	-1.63	-12.54	-82.04	0.021803	0.147892	0.305984	20.63	1.80
operating_profit_ttm	基础科目及衍生类因子	营业利润TTM	计算过去12个月 营业利润 之和	-0.26	1.40	-1.66	-12.96	-81.97	0.021707	0.147271	0.301461	20.12	1.84
OperateNetIncome	基础科目及衍生类因子	经营活动净收益	经营活动净收益/利润总额(%) * 利润总额	-0.39	1.73	-2.13	-15.62	-81.17	0.021139	0.158175	0.282194	19.31	2.35
np_parent_company_owners_ttm	基础科目及衍生类因子	归属于母公司股东的净利润TTM	计算过去12个月 归属于母公司股东的净利润 之和	-0.67	0.89	-1.56	-13.62	-81.85	0.022124	0.148091	0.278124	19.88	1.74
EBIT	基础科目及衍生类因子	息税前利润	=净利润+所得税+财务费用	-1.01	1.03	-2.04	-15.64	-81.48	0.026329	0.180238	0.248969	19.67	2.27
long_debt_to_asset_ratio	质量类因子	长期借款与资产总计之比	长期借款与资产总计之比=长期借款/总资产	-1.20	0.24	-1.45	-7.19	-82.54	0.00554	0.083932	0.192372	24.92	1.61
net_operate_cash_flow_ttm	基础科目及衍生类因子	经营活动现金流量净额TTM	计算过去12个月 经营活动产生的现金流量净值 之和	-1.25	0.39	-1.64	-9.50	-82.71	0.020362	0.161024	0.237616	18.36	1.83
net_profit_ttm	基础科目及衍生类因子	净利润TTM	计算过去12个月 净利润 之和	-1.33	0.27	-1.60	-12.77	-82.17	0.021616	0.147957	0.241717	20.75	1.79
earnings_yield	风险因子 - 风格因子	盈利预期因子	0.68 * 预期市盈率 + 0.21 * 营业收益市值比 + 0.11 * 利润市值比	-1.33	0.99	-2.32	-9.63	-83.44	0.028504	0.121211	0.25306	21.34	2.58
earnyild	风险因子 - 新风格因子	收益因子	0.10 * cash_earnings_to_price + 0.20 * enterprise_multiple + 0.50 * analyst_predicted_earnings_to_price + 0.20 * earnings_to_price	-1.43	0.64	-2.08	-9.81	-83.43	0.026989	0.114515	0.251007	21.08	2.32
surplus_reserve_fund_per_share	每股指标因子	每股盈余公积金	每股盈余公积金	-1.65	-0.44	-1.21	-11.87	-82.00	0.010247	0.108821	0.216705	17.57	1.36
total_asset_growth_rate	成长类因子	总资产增长率	总资产 / 总资产_4 -1	-1.70	0.12	-1.81	-12.68	-81.47	-0.000519	-0.006235	0.162971	29.61	2.03
volatility_v2		波动率因子		-1.88	0.39	-2.28	-6.20	-82.67	-0.035772	-0.110009	0.108822	37.89	2.55
EBITDA	基础科目及衍生类因子	息税折旧摊销前利润	=营业收入－经营成本－营业税及附加	-1.90	0.77	-2.67	-14.84	-81.72	0.021575	0.164742	0.197792	20.42	2.99
financial_liability	基础科目及衍生类因子	金融负债	(流动负债合计-无息流动负债)+(有息非流动负债)=(流动负债合计-应付账款-预收款项-应付职工薪酬-应交税费-其他应付款-一年内的递延收益-其它流动负债)+(长期借款+应付债券)	-1.92	-0.69	-1.23	-7.42	-82.84	0.01259	0.115182	0.180444	19.22	1.38
predicted_earnings_to_price_ratio	风险因子 - 风格因子	预期市盈率	分析师对未来一年预期盈利加权平均值 除以 当前股票市值	-1.99	0.31	-2.30	-10.83	-83.40	0.027772	0.116469	0.213896	22.36	2.58
operating_revenue_growth_rate	成长类因子	营业收入增长率	营业收入增长率=（今年营业收入（TTM）/去年营业收入（TTM））-1	-2.05	-0.21	-1.84	-13.24	-81.46	0.005947	0.081053	0.153936	24.82	2.07
cfo_to_ev	质量类因子	经营活动产生的现金流量净额与企业价值之比TTM	经营活动产生的现金流量净额TTM / 企业价值。其中，企业价值=司市值+负债合计-货币资金	-2.15	-0.04	-2.11	-6.30	-83.22	0.019324	0.178885	0.189841	18.99	2.37
cashflow_per_share_ttm	每股指标因子	每股现金流量净额，根据当时日期来获取最近变更日的总股本	现金流量净额（TTM）除以总股本	-2.20	-0.27	-1.93	-11.05	-81.90	0.004133	0.081427	0.153147	23.06	2.17
operating_profit_per_share_ttm	每股指标因子	每股营业利润TTM	营业利润（TTM）除以总股本	-2.33	-1.00	-1.33	-12.87	-81.95	0.005169	0.045434	0.15999	22.13	1.50
